binary,threads,run,time_s
yee_naive_omp,1,1,0.22542715072631836
yee_naive_omp,1,2,0.21685791015625
yee_naive_omp,1,3,0.21554064750671387
yee_naive_omp,2,1,0.22224092483520508
yee_naive_omp,2,2,0.22215628623962402
yee_naive_omp,2,3,0.2121880054473877
yee_naive_omp,4,1,0.2201213836669922
yee_naive_omp,4,2,0.2160031795501709
yee_naive_omp,4,3,0.21698760986328125
yee_naive_omp,8,1,0.2131791114807129
yee_naive_omp,8,2,0.22388172149658203
yee_naive_omp,8,3,0.22908997535705566
yee_naive_omp,16,1,0.2212975025177002
yee_naive_omp,16,2,0.21968889236450195
yee_naive_omp,16,3,0.22298312187194824
yee_block_omp,1,1,0.22130608558654785
yee_block_omp,1,2,0.22244668006896973
yee_block_omp,1,3,0.21603941917419434
yee_block_omp,2,1,0.21587252616882324
yee_block_omp,2,2,0.21958088874816895
yee_block_omp,2,3,0.22236227989196777
yee_block_omp,4,1,0.22367072105407715
yee_block_omp,4,2,0.21813082695007324
yee_block_omp,4,3,0.21378731727600098
yee_block_omp,8,1,0.22035932540893555
yee_block_omp,8,2,0.21853375434875488
yee_block_omp,8,3,0.2165217399597168
yee_block_omp,16,1,0.2135908603668213
yee_block_omp,16,2,0.23482203483581543
yee_block_omp,16,3,0.21969866752624512
yee_stride1_omp,1,1,0.2451944351196289
yee_stride1_omp,1,2,0.22756218910217285
yee_stride1_omp,1,3,0.23165488243103027
yee_stride1_omp,2,1,0.22704458236694336
yee_stride1_omp,2,2,0.22533917427062988
yee_stride1_omp,2,3,0.2231276035308838
yee_stride1_omp,4,1,0.23161530494689941
yee_stride1_omp,4,2,0.2240750789642334
yee_stride1_omp,4,3,0.2326517105102539
yee_stride1_omp,8,1,0.2231738567352295
yee_stride1_omp,8,2,0.2306957244873047
yee_stride1_omp,8,3,0.2206110954284668
yee_stride1_omp,16,1,0.23309922218322754
yee_stride1_omp,16,2,0.22730374336242676
yee_stride1_omp,16,3,0.2255535125732422
